ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
1,1.10103E+15,CL 2S 5 80,6.71242E+12,2,2,4,,,,2,43.5,200000,8700000,25,A,68,36,43.5,43.5,250000,10875000,19575000,450000,3,2
2,1.10106E+15,AC 1 S 4 21,6.71242E+12,2,2,4,,,,2,38060.9,80000,3044872000,22,A,32,79,172.8,10996.9,150000,25920000,5762390000,524001,3,2
2,1.10106E+15,AC 1 S 4 21,6.71242E+12,2,2,4,,,,2,38060.9,80000,3044872000,25,A,58,79,9530.7,10996.9,250000,2382675000,5762390000,524001,3,2
2,1.10106E+15,AC 1 S 4 21,6.71242E+12,2,2,4,,,,2,38060.9,80000,3044872000,25,A,62,79,812.5,10996.9,250000,203125000,5762390000,524001,3,2
2,1.10106E+15,AC 1 S 4 21,6.71242E+12,2,2,4,,,,2,38060.9,80000,3044872000,80,A,40,79,480.9,10996.9,220000,105798000,5762390000,524001,3,2
3,1.10827E+15,KR 9E 13 19 S,6.03024E+12,2,2,4,,,,2,972,160000,155520000,70,A,38,51,344.9,344.9,100000,34490000,190010000,550913,1,2
4,1.11111E+15,AC 11 SUR 5 20,6.23222E+12,3,3,4,,,,2,300,200000,60000000,25,A,73,16,150,487.5,400000,60000000,197100000,404308,1,3
4,1.11111E+15,AC 11 SUR 5 20,6.23222E+12,3,3,4,,,,2,300,200000,60000000,22,A,51,16,52.5,487.5,220000,11550000,189450000,388615,1,3
4,1.11111E+15,AC 11 SUR 5 20,6.23222E+12,3,3,4,,,,2,300,200000,60000000,3,A,56,16,18,487.5,230000,4140000,189450000,388615,1,3
4,1.11111E+15,AC 11 SUR 5 20,6.23222E+12,3,3,4,,,,2,300,200000,60000000,1,A,51,16,267,487.5,230000,61410000,189450000,388615,1,3
5,1.20103E+15,AK 14 4 08 SUR,6.23222E+12,2,3,15,,,,2,3527,350000,1234450000,4,A,50,54,12,465.7,240000,2880000,1337470000,2871956,2,2
5,1.20103E+15,AK 14 4 08 SUR,6.23222E+12,2,3,15,,,,2,3527,350000,1234450000,5,A,56,54,97.2,465.7,150000,14580000,1337470000,2871956,2,2
5,1.20103E+15,AK 14 4 08 SUR,6.23222E+12,2,3,15,,,,2,3527,350000,1234450000,20,A,50,54,123.6,465.7,240000,29664000,1337470000,2871956,2,2
5,1.20103E+15,AK 14 4 08 SUR,6.23222E+12,2,3,15,,,,2,3527,350000,1234450000,22,A,47,54,69.3,465.7,240000,16632000,1337470000,2871956,2,2
5,1.20103E+15,AK 14 4 08 SUR,6.23222E+12,2,3,15,,,,2,3527,350000,1234450000,33,A,54,9,163.6,465.7,240000,39264000,1337470000,2871956,2,2
6,1.20501E+15,AK 10 15-22 S,6.01022E+12,3,2,4,,,,2,264.9,250000,66225000,1,A,34,16,62.1,283.3,180000,11178000,118821000,419418,2,1
6,1.20501E+15,AK 10 15-22 S,6.01022E+12,3,2,4,,,,2,264.9,250000,66225000,4,A,44,16,39.6,283.3,210000,8316000,118425000,418020,2,1
6,1.20501E+15,AK 10 15-22 S,6.01022E+12,3,2,4,,,,2,264.9,250000,66225000,33,A,38,16,165.9,283.3,180000,29862000,118425000,418020,2,1
6,1.20501E+15,AK 10 15-22 S,6.01022E+12,3,2,4,,,,2,264.9,250000,66225000,80,A,46,16,16.2,283.3,200000,3240000,118425000,1907005,2,1
7,1.20516E+15,KR 7 19-25 S,6.01022E+12,3,2,4,,,,2,206.2,300000,61860000,33,A,44,24,206.2,206.2,200000,41240000,103100000,500000,1,3
8,1.20604E+15,AC 11 SUR 7-53,6.01022E+12,3,2,16,,,,2,243.1,250000,60775000,4,A,28,34,52.74,202.5,160000,8438400,93379800,461135,2,1
8,1.20604E+15,AC 11 SUR 7-53,6.01022E+12,3,2,16,,,,2,243.1,250000,60775000,22,A,28,34,69.76,202.5,140000,9766400,92852400,1760569,2,1
8,1.20604E+15,AC 11 SUR 7-53,6.01022E+12,3,2,16,,,,2,243.1,250000,60775000,33,A,60,9,80,202.5,180000,14400000,92852400,1760569,2,1
10,1.31109E+15,CL 42A S 3C 65 E,6.23523E+12,2,2,4,,,,2,188.2,120000,22584000,4,A,30,37,118,252.4,200000,23600000,67688000,268177,1,2
10,1.31109E+15,CL 42A S 3C 65 E,6.23523E+12,2,2,4,,,,2,188.2,120000,22584000,1,A,29,37,134.4,252.4,160000,21504000,67688000,268177,1,2
11,1.32132E+15,KR 1B 40-46 SUR,6.23513E+12,2,2,4,,,,2,240,160000,38400000,1,A,8,21,43.2,43.2,40000,1728000,40128000,928889,2,1
12,1.40317E+15,DG 32B SUR 15C-25,6.03023E+12,2,3,4,,,,2,0,0,0,33,A,38,49,1893.7,1893.7,200000,378740000,378740000,200000,4,1
13,1.40437E+15,AK 10 23-45 SUR,6.01022E+12,2,3,4,,,,2,304.8,350000,106680000,33,A,56,41,169,259,250000,42250000,171430000,661892,2,2
13,1.40437E+15,AK 10 23-45 SUR,6.01022E+12,2,3,4,,,,2,304.8,350000,106680000,4,A,40,41,90,259,250000,22500000,171430000,661892,2,2
14,1.40504E+15,AC 20 SUR 8A 65,6.01022E+12,3,3,4,,,,2,326.6,320000,104512000,33,A,46,30,275.7,329,220000,60654000,165166000,502024,2,2
14,1.40504E+15,AC 20 SUR 8A 65,6.01022E+12,3,3,4,,,,2,326.6,320000,104512000,4,A,42,30,53.3,329,220000,11726000,165166000,502024,2,2
15,1.40516E+15,CL 22 S 7 32,6.01022E+12,3,3,4,,,,2,300,200000,60000000,10,A,64,6,198,533,350000,69300000,180700000,339024,1,3
15,1.40516E+15,CL 22 S 7 32,6.01022E+12,3,3,4,,,,2,300,200000,60000000,80,A,63,6,100,533,140000,14000000,132640000,248856,1,3
15,1.40516E+15,CL 22 S 7 32,6.01022E+12,3,3,4,,,,2,300,200000,60000000,22,A,50,6,50,533,230000,11500000,132640000,248856,1,3
15,1.40516E+15,CL 22 S 7 32,6.01022E+12,3,3,4,,,,2,300,200000,60000000,10,A,58,6,185,533,140000,25900000,132640000,248856,1,3
16,1.40522E+15,AC 20 SUR 6 45,6.01022E+12,3,3,4,,,,2,21.6,400000,8640000,33,A,40,30,21.6,21.6,250000,5400000,14040000,650000,2,3
17,1.40567E+15,DG 27 SUR 8A-51 BOD 5,6.03022E+12,3,3,4,,,,2,281.2,220000,61864000,25,A,70,22,281.2,281.2,350000,98420000,160284000,570000,1,3
18,1.40616E+15,KR 5A 33 35S,6.22223E+12,2,3,4,,,,2,252.32,200000,50464000,33,A,44,20,192.12,192.12,250000,48030000,98494000,512669,2,1
19,1.40704E+15,CL 28A SUR 5 21,6.03022E+12,1,3,4,,,,2,200.2,200000,40040000,22,A,38,29,27,200.2,180000,4860000,79540000,2945926,2,1
19,1.40704E+15,CL 28A SUR 5 21,6.03022E+12,1,3,4,,,,2,200.2,200000,40040000,33,A,42,29,173.2,200.2,200000,34640000,79540000,2945926,2,1
20,1.41201E+15,KR 15A 33B 45 SUR,6.03024E+12,3,3,4,,,,2,297,100000,29700000,25,A,50,11,268.4,268.4,250000,67100000,96800000,360656,1,3
21,1.41601E+15,CL 49 BIS SUR 5D-12,5.72772E+12,3,2,18,,,,2,128,130000,16640000,33,A,36,16,128,128,200000,15360000,32000000,250000,1,3
44,2.20513E+15,KR 23 42 71 SUR,6.23222E+12,3,3,18,,,,2,460.8,190000,87552000,1,A,16,40,59.2,460.8,100000,5920000,157728000,342292,1,3
44,2.20513E+15,KR 23 42 71 SUR,6.23222E+12,3,3,18,,,,2,460.8,190000,87552000,33,A,23,40,401.6,460.8,160000,64256000,156544000,339722,1,3
45,2.31008E+15,AK 24 32A 05 S,6.23222E+12,3,3,18,,,,2,438,250000,109500000,25,A,57,56,268.8,655.8,300000,80640000,286890000,437466,2,1
45,2.31008E+15,AK 24 32A 05 S,6.23222E+12,3,3,18,,,,2,438,250000,109500000,80,A,39,56,387,655.8,250000,96750000,286890000,437466,2,1
46,2.20531E+15,KR 21 44 61 SUR,6.23222E+12,3,3,18,,,,2,546.2,190000,103778000,1,A,29,35,46.15,661.4,140000,6461000,246141000,372151,1,3
46,2.20531E+15,KR 21 44 61 SUR,6.23222E+12,3,3,18,,,,2,546.2,190000,103778000,20,A,36,35,233.2,661.4,200000,46640000,234481000,354522,1,3
46,2.20531E+15,KR 21 44 61 SUR,6.23222E+12,3,3,18,,,,2,546.2,190000,103778000,22,A,28,35,27,661.4,150000,4050000,234481000,354522,1,3
46,2.20531E+15,KR 21 44 61 SUR,6.23222E+12,3,3,18,,,,2,546.2,190000,103778000,33,A,48,35,355.05,661.4,240000,85212000,234481000,354522,1,3
47,2.20532E+15,AC 44 SUR 20 25,6.23222E+12,3,3,18,,,,2,526.3,350000,184205000,1,A,25,18,56,639.8,250000,14000000,351651000,549626,2,2
47,2.20532E+15,AC 44 SUR 20 25,6.23222E+12,3,3,18,,,,2,526.3,350000,184205000,4,A,43,18,68.6,639.8,250000,17150000,351651000,549626,2,2
47,2.20532E+15,AC 44 SUR 20 25,6.23222E+12,3,3,18,,,,2,526.3,350000,184205000,22,A,43,56,99.5,639.8,200000,19900000,351651000,549626,2,2
47,2.20532E+15,AC 44 SUR 20 25,6.23222E+12,3,3,18,,,,2,526.3,350000,184205000,25,A,60,56,415.7,639.8,280000,116396000,351651000,549626,2,2
48,2.20536E+15,KR 22A 45 51 SUR,6.23222E+12,3,3,18,,,,2,346,190000,65740000,1,A,37,20,105.8,451.8,180000,19044000,166769000,369121,1,3
48,2.20536E+15,KR 22A 45 51 SUR,6.23222E+12,3,3,18,,,,2,346,190000,65740000,25,A,52,20,255.7,451.8,250000,63925000,166769000,369121,1,3
48,2.20536E+15,KR 22A 45 51 SUR,6.23222E+12,3,3,18,,,,2,346,190000,65740000,80,A,43,20,90.3,451.8,200000,18060000,166769000,369121,1,3
49,2.20538E+15,KR 21 45 85 SUR,6.23222E+12,3,3,18,,,,2,273,190000,51870000,22,A,28,56,51.8,369.7,150000,7770000,127426000,344674,1,3
49,2.20538E+15,KR 21 45 85 SUR,6.23222E+12,3,3,18,,,,2,273,190000,51870000,33,A,34,56,210.3,369.7,220000,46266000,129529000,350362,1,3
49,2.20538E+15,KR 21 45 85 SUR,6.23222E+12,3,3,18,,,,2,273,190000,51870000,80,A,41,56,107.6,369.7,200000,21520000,129529000,350362,1,3
50,2.20543E+15,DG 45S 20 33,6.46222E+12,3,3,18,,,,2,256,190000,48640000,22,A,44,30,279.04,470.91,220000,61388800,159915000,339587,1,3
50,2.20543E+15,DG 45S 20 33,6.46222E+12,3,3,18,,,,2,256,190000,48640000,33,A,51,30,191.87,470.91,260000,49886200,159915000,339587,1,3
51,2.20571E+15,DG 48 SUR 18B 15,6.46222E+12,3,3,18,,,,2,320.1,220000,70422000,25,A,52,15,320.1,320.1,320000,102432000,172854000,540000,2,2
52,2.20575E+15,AK 13 42A 41,6.46222E+12,3,3,18,,,,2,490.2,350000,171570000,22,A,42,16,162,624.3,220000,35640000,332631000,532806,2,2
52,2.20575E+15,AK 13 42A 41,6.46222E+12,3,3,18,,,,2,490.2,350000,171570000,25,A,54,16,328.2,624.3,280000,91896000,332631000,532806,2,2
52,2.20575E+15,AK 13 42A 41,6.46222E+12,3,3,18,,,,2,490.2,350000,171570000,80,A,47,16,134.1,624.3,250000,33525000,332631000,532806,2,2
53,2.30202E+15,KR 30 22 25 SUR,6.46222E+12,3,3,15,,,,2,374,280000,104720000,22,A,35,30,57,413.3,190000,105178000,209898000,507859,2,2
53,2.30202E+15,KR 30 22 25 SUR,6.46222E+12,3,3,15,,,,2,374,280000,104720000,25,A,62,30,299.3,413.3,260000,77818000,209898000,507859,2,2
53,2.30202E+15,KR 30 22 25 SUR,6.46222E+12,3,3,15,,,,2,374,280000,104720000,80,A,48,30,57,413.3,290000,16530000,209898000,507859,2,2
54,2.30205E+15,CL 23 SUR 28 13,6.46222E+12,3,3,15,,,,2,655.6,220000,144232000,1,A,31,45,187.9,535.3,160000,118684000,262916000,491156,3,2
54,2.30205E+15,CL 23 SUR 28 13,6.46222E+12,3,3,15,,,,2,655.6,220000,144232000,3,A,30,80,28.4,535.3,200000,5680000,268553000,501687,3,2
54,2.30205E+15,CL 23 SUR 28 13,6.46222E+12,3,3,15,,,,2,655.6,220000,144232000,25,A,66,80,319,535.3,260000,82940000,268553000,501687,3,2
55,4.10319E+15,KR 17 8 30,6.44322E+12,3,3,14,,,,2,372.9,320000,119328000,25,A,70,29,372.9,372.9,260000,96954000,216282000,580000,2,2
56,2.30213E+15,KR 32 27 44 SUR,6.46222E+12,3,3,15,,,,2,320,250000,80000000,1,A,36,40,135.9,414.6,180000,74628000,154628000,372957,1,3
56,2.30213E+15,KR 32 27 44 SUR,6.46222E+12,3,3,15,,,,2,320,250000,80000000,33,A,36,95,278.7,414.6,180000,50166000,157346000,379513,1,3
